input_size,num_processes,avg_time,std_time,speedup,efficiency,theoretical_speedup
20000,1,2.0090960333333334,0.015214739150331967,1.0,1.0,1.0
20000,2,1.9283596,0.011276974372893494,1.0418679344523363,0.5209339672261681,1.9979048267144826
20000,4,1.0987301333333332,0.006588246120715781,1.8285618755518493,0.45714046888796234,3.987455243725117
20000,6,10.149946066666667,12.407909694576235,0.19794154768283795,0.03299025794713966,5.9687035437155185
20000,12,6.5102575,1.623549916680192,0.3086046954875953,0.025717057957299606,11.863152162819073
40000,1,8.2841286,0.04462656143552412,1.0,1.0,1.0
40000,2,7.670733633333334,0.03474042018335543,1.0799656194553735,0.5399828097276868,1.9979048267144826
40000,4,8.0305475,0.17388890802359397,1.0315770624605607,0.2578942656151402,3.987455243725117
40000,6,20.1001873,5.069935092528136,0.41214186098653915,0.06869031016442319,5.9687035437155185
40000,12,27.098376566666666,17.63353466191417,0.3057057156032805,0.025475476300273376,11.863152162819073
80000,1,33.804430466666666,0.23171214052528397,1.0,1.0,1.0
80000,2,30.9345631,0.10933199232371303,1.0927721965036148,0.5463860982518074,1.9979048267144826
80000,4,32.976408166666666,0.47726129252578714,1.0251095357570503,0.2562773839392626,3.987455243725117
80000,6,66.9110991,2.7047834898014105,0.5052140963361738,0.08420234938936229,5.9687035437155185
80000,12,80.66927963333333,2.9981309338089903,0.41904961368588134,0.034920801140490114,11.863152162819073
